ticker,date,open,high,low,close,volume,closeadjusted
IDTL.UK,9/10/2015,4.0603,4.0639,4.0526,4.0639,20001,4.0639
IDTL.UK,12/10/2015,4.063,4.063,4.063,4.063,6448,4.063
IDTL.UK,13/10/2015,4.0944,4.0944,4.0717,4.0738,261681,4.0738
IDTL.UK,14/10/2015,4.1031,4.1128,4.1031,4.1128,36559,4.1128
IDTL.UK,15/10/2015,4.1198,4.1198,4.1172,4.1172,2412,4.1172
IDTL.UK,19/10/2015,4.0928,4.0928,4.0692,4.0692,2911,4.0692
IDTL.UK,20/10/2015,4.0577,4.0577,4.0577,4.0577,18475,4.0577
IDTL.UK,23/10/2015,4.1163,4.1163,4.1101,4.1101,5766,4.1101
IDTL.UK,27/10/2015,4.1249,4.1249,4.1145,4.1145,3624,4.1145
IDTL.UK,28/10/2015,4.1311,4.1311,4.1311,4.1311,3870,4.1311
IDTL.UK,29/10/2015,4.1128,4.1128,4.0359,4.0359,19745,4.0359
IDTL.UK,30/10/2015,4.0526,4.0551,4.0469,4.0469,251901,4.0469
IDTL.UK,2/11/2015,4.0537,4.0587,4.0394,4.0542,2009630,4.0542
IDTL.UK,3/11/2015,4.0507,4.0507,4.0334,4.0334,144603,4.0334
IDTL.UK,4/11/2015,4.063,4.063,4.0062,4.0062,27597,4.0062
IDTL.UK,5/11/2015,4.0542,4.0542,3.9993,3.9993,193743,3.9993
IDTL.UK,6/11/2015,4.0193,4.0193,4.0193,4.0193,3853,4.0193
IDTL.UK,9/11/2015,3.9449,3.9537,3.9188,3.9311,104356,3.9311
IDTL.UK,10/11/2015,3.9607,3.9607,3.9521,3.9521,2923,3.9521
IDTL.UK,11/11/2015,3.9581,3.9581,3.9398,3.9398,9081,3.9398
IDTL.UK,12/11/2015,3.9362,3.953,3.9362,3.953,49372,3.953
IDTL.UK,13/11/2015,3.9756,3.9756,3.9748,3.9748,6442,3.9748
IDTL.UK,16/11/2015,4.0044,4.0044,3.9833,3.9833,10131,3.9833
IDTL.UK,17/11/2015,3.9505,3.9695,3.9505,3.9695,35456,3.9695
IDTL.UK,18/11/2015,3.9853,3.9853,3.9853,3.9853,1217,3.9853
IDTL.UK,19/11/2015,4.0245,4.0245,4.0245,4.0245,18967,4.0245
IDTL.UK,20/11/2015,4.0167,4.0167,4.0167,4.0167,21956,4.0167
IDTL.UK,23/11/2015,3.9957,3.9957,3.9957,3.9957,14534,3.9957
IDTL.UK,24/11/2015,4.0263,4.0263,4.0263,4.0263,3905,4.0263
IDTL.UK,26/11/2015,4.0315,4.0315,4.0315,4.0315,153733,4.0315
IDTL.UK,27/11/2015,4.0297,4.0297,4.0297,4.0297,6851,4.0297
IDTL.UK,30/11/2015,4.0176,4.0332,4.0124,4.0332,19071,4.0332
IDTL.UK,1/12/2015,4.0281,4.0701,4.0281,4.0587,16149,4.0587
